,time,open,high,low,close,volume
182,2024-09-27,66.58,67.08,65.69,65.79,483680
183,2024-09-30,65.5,65.99,65.3,65.69,369025
184,2024-10-01,65.79,66.29,65.69,65.79,444815
185,2024-10-02,65.5,66.88,65.5,66.48,674129
186,2024-10-03,66.88,67.08,65.69,65.89,476916
187,2024-10-04,66.09,66.09,65.4,65.4,340230
188,2024-10-07,65.6,66.38,64.91,64.91,525314
189,2024-10-08,65.2,65.4,64.51,64.71,421215
190,2024-10-09,64.71,64.71,64.41,64.71,520281
191,2024-10-10,64.71,65.0,64.51,64.61,662405
192,2024-10-11,64.81,65.2,64.51,64.71,639222
193,2024-10-14,65.6,65.69,64.81,65.0,412849
194,2024-10-15,65.0,65.3,64.31,64.31,373611
195,2024-10-16,64.12,64.61,63.72,64.02,424100
196,2024-10-17,64.02,64.31,63.92,64.02,336606
197,2024-10-18,64.02,64.61,63.92,63.92,288718
198,2024-10-21,63.82,63.92,63.13,63.23,381578
199,2024-10-22,63.13,63.23,62.14,62.24,641849
200,2024-10-23,62.14,62.64,62.04,62.44,373224
201,2024-10-24,62.44,62.64,62.14,62.64,457866
202,2024-10-25,63.03,63.03,62.14,62.14,271438
203,2024-10-28,62.34,62.64,62.04,62.44,285878
204,2024-10-29,62.44,63.72,62.34,63.72,561516
205,2024-10-30,64.02,64.31,63.82,64.12,644230
206,2024-10-31,63.82,63.92,61.75,63.23,392046
207,2024-11-01,63.13,63.13,61.16,61.16,3433664
208,2024-11-04,61.45,63.23,61.16,63.13,1288748
209,2024-11-05,62.44,63.92,62.44,62.74,560724
210,2024-11-06,62.93,63.52,62.54,63.03,680225
211,2024-11-07,63.33,63.82,62.83,63.62,696362
212,2024-11-08,64.02,64.02,63.43,63.72,701768
213,2024-11-11,63.72,64.12,63.13,64.12,551658
214,2024-11-12,64.51,65.1,64.21,64.91,753078
215,2024-11-13,64.71,64.71,63.92,64.51,547539
216,2024-11-14,64.71,65.1,64.12,64.12,527937
217,2024-11-15,63.82,64.31,63.72,64.12,834415
218,2024-11-18,64.02,64.21,62.74,62.83,495632
219,2024-11-19,63.13,63.13,61.95,61.95,439051
220,2024-11-20,61.95,62.93,60.96,62.93,891973
221,2024-11-21,63.33,64.12,62.93,64.12,583013
222,2024-11-22,64.12,64.31,63.43,63.82,447065
223,2024-11-25,63.92,66.38,63.33,65.99,1600690
224,2024-11-26,65.99,66.19,65.5,65.79,494663
225,2024-11-27,65.79,66.58,65.4,66.09,969244
